Far field
"Phi"[deg]	"FarField1 [dBV]"	
8.00000000E+01	-3.03598009E+00	
8.05000000E+01	-2.53903922E+00	
8.10000000E+01	-2.16086927E+00	
8.15000000E+01	-1.88710562E+00	
8.20000000E+01	-1.70645373E+00	
8.25000000E+01	-1.60960249E+00	
8.30000000E+01	-1.58843134E+00	
8.35000000E+01	-1.63537841E+00	
8.40000000E+01	-1.74289240E+00	
8.45000000E+01	-1.90292666E+00	
8.50000000E+01	-2.10646606E+00	
8.55000000E+01	-2.34311302E+00	
8.60000000E+01	-2.60080567E+00	
8.65000000E+01	-2.86579293E+00	
8.70000000E+01	-3.12302975E+00	
8.75000000E+01	-3.35713894E+00	
8.80000000E+01	-3.55396287E+00	
8.85000000E+01	-3.70248559E+00	
8.90000000E+01	-3.79662982E+00	
8.95000000E+01	-3.83631354E+00	
9.00000000E+01	-3.82734708E+00	
9.05000000E+01	-3.78020339E+00	
9.10000000E+01	-3.70812508E+00	
9.15000000E+01	-3.62518063E+00	
9.20000000E+01	-3.54472941E+00	
9.25000000E+01	-3.47847222E+00	
9.30000000E+01	-3.43603489E+00	
9.35000000E+01	-3.42492413E+00	
9.40000000E+01	-3.45068672E+00	
9.45000000E+01	-3.51714169E+00	
9.50000000E+01	-3.62660266E+00	
9.55000000E+01	-3.78004491E+00	
9.60000000E+01	-3.97719691E+00	
9.65000000E+01	-4.21655077E+00	
9.70000000E+01	-4.49529656E+00	
9.75000000E+01	-4.80919550E+00	
9.80000000E+01	-5.15242226E+00	
9.85000000E+01	-5.51742892E+00	
9.90000000E+01	-5.89491368E+00	
9.95000000E+01	-6.27400818E+00	
1.00000000E+02	-6.64281012E+00	
1.00500000E+02	-6.98935128E+00	
1.01000000E+02	-7.30297642E+00	
1.01500000E+02	-7.57592357E+00	
1.02000000E+02	-7.80471633E+00	
1.02500000E+02	-7.99093215E+00	
1.03000000E+02	-8.14108039E+00	
1.03500000E+02	-8.26564703E+00	
1.04000000E+02	-8.37765390E+00	
1.04500000E+02	-8.49117926E+00	
1.05000000E+02	-8.62018474E+00	
1.05500000E+02	-8.77780064E+00	
1.06000000E+02	-8.97605737E+00	
1.06500000E+02	-9.22596684E+00	
1.07000000E+02	-9.53784648E+00	
1.07500000E+02	-9.92180945E+00	
1.08000000E+02	-1.03883910E+01	
1.08500000E+02	-1.09493344E+01	
1.09000000E+02	-1.16186208E+01	
1.09500000E+02	-1.24139210E+01	
1.10000000E+02	-1.33588037E+01	
1.10500000E+02	-1.44863698E+01	
1.11000000E+02	-1.58457185E+01	
1.11500000E+02	-1.75145181E+01	
1.12000000E+02	-1.96262088E+01	
1.12500000E+02	-2.24376052E+01	
1.13000000E+02	-2.65274045E+01	
1.13500000E+02	-3.32247839E+01	
1.14000000E+02	-3.37970125E+01	
1.14500000E+02	-2.70813258E+01	
1.15000000E+02	-2.30336523E+01	
1.15500000E+02	-2.03083808E+01	
1.16000000E+02	-1.82890599E+01	
1.16500000E+02	-1.67022370E+01	
1.17000000E+02	-1.54045832E+01	
1.17500000E+02	-1.43111352E+01	
1.18000000E+02	-1.33668046E+01	
1.18500000E+02	-1.25334439E+01	
1.19000000E+02	-1.17833809E+01	
1.19500000E+02	-1.10959582E+01	
1.20000000E+02	-1.04555763E+01	
1.20500000E+02	-9.85052499E+00	
1.21000000E+02	-9.27222501E+00	
1.21500000E+02	-8.71467709E+00	
1.22000000E+02	-8.17400643E+00	
1.22500000E+02	-7.64805100E+00	
1.23000000E+02	-7.13597614E+00	
1.23500000E+02	-6.63791859E+00	
1.24000000E+02	-6.15467025E+00	
1.24500000E+02	-5.68741177E+00	
1.25000000E+02	-5.23750118E+00	
1.25500000E+02	-4.80631722E+00	
1.26000000E+02	-4.39515196E+00	
1.26500000E+02	-4.00514459E+00	
1.27000000E+02	-3.63724732E+00	
1.27500000E+02	-3.29221438E+00	
1.28000000E+02	-2.97060687E+00	
1.28500000E+02	-2.67280718E+00	
1.29000000E+02	-2.39903862E+00	
1.29500000E+02	-2.14938716E+00	
1.30000000E+02	-1.92382312E+00	
1.30500000E+02	-1.72222171E+00	
1.31000000E+02	-1.54438156E+00	
1.31500000E+02	-1.39004108E+00	
1.32000000E+02	-1.25889267E+00	
1.32500000E+02	-1.15059465E+00	
1.33000000E+02	-1.06478145E+00	
1.33500000E+02	-1.00107193E+00	
1.34000000E+02	-9.59076343E-01	
1.34500000E+02	-9.38402006E-01	
1.35000000E+02	-9.38657931E-01	
1.35500000E+02	-9.59458604E-01	
1.36000000E+02	-1.00042707E+00	
1.36500000E+02	-1.06119743E+00	
1.37000000E+02	-1.14141693E+00	
1.37500000E+02	-1.24074765E+00	
1.38000000E+02	-1.35886798E+00	
1.38500000E+02	-1.49547387E+00	
1.39000000E+02	-1.65027997E+00	
1.39500000E+02	-1.82302067E+00	
1.40000000E+02	-2.01345111E+00	
1.40500000E+02	-2.22134823E+00	
1.41000000E+02	-2.44651181E+00	
1.41500000E+02	-2.68876561E+00	
1.42000000E+02	-2.94795863E+00	
1.42500000E+02	-3.22396649E+00	
1.43000000E+02	-3.51669299E+00	
1.43500000E+02	-3.82607186E+00	
1.44000000E+02	-4.15206878E+00	
1.44500000E+02	-4.49468364E+00	
1.45000000E+02	-4.85395318E+00	
1.45500000E+02	-5.22995390E+00	
1.46000000E+02	-5.62280558E+00	
1.46500000E+02	-6.03267509E+00	
1.47000000E+02	-6.45978099E+00	
1.47500000E+02	-6.90439863E+00	
